
10pin,Bowling
pastry,Feingebäck
path,Pfad
pawnbroker,Pfandhaus
peak,Gipfel
pedestrian,Fußgängerzone
pelota,Pelota
perfumery,Parfümerie
petroleum_well,Ölfördereinrichtung
pet,Tierhandlung
pharmacy,Apotheke
phone,Telefonladen
photo,Fotoladen
photographer,Fotograf
picnic_site,Piknikplatz
pier,Anleger
pipeline,Rohrleitung
piste,Piste
pitch,Sportplatz
place_of_worship,Andachtsstätte
platform,Bahnsteig
playground,Spielplatz
plaza,großer Platz
point,Punkt
police,Polizei
post_box,Briefkasten
postcode,Postleitzahl
post_office,Postamt
power_cable_distribution_cabinet,Kabelverteilerschrank
power_generator,Generator
power_station,Umspannstation
power_sub_station,Transformator
power_substation,Transformator
preschool,Vorschule
preserved,bewahrte Bahnstrecke
primary_link,Primärauffahrt
primary,Primärstraße
prison,Gefängnis
pub,Kneipe
public_building,öffentliches Gebäude
public_market,öffentlicher Markt
public,öffentliches Gebäude
public_transport_platform,Bahn-/Bussteig
public_transport_station,Bahnhof
quango,halbstaatliche Organisation
quarry,Steinbruch
raceway,Rennweg
racquet,Racquetball
radio_station,Funkstation
railway_abandoned,aufgegebene Bahnstrecke
railway_buffer_stop,Prellbock
railway_construction,Bahnstrecke im Bau
railway_crossing,Bahnübergang
railway_disused,stillgelegte Bahnstrecke
railway,Eisenbahn
railway_funicular,Standseilbahn
railway_level_crossing,Bahnübergang
railway_monorail,Einschienenbahn 
railway_narrow_gauge,Schmalspurbahn
railway_preserved,Museumsbahn
railway_rail,Bahngleis
railway_signal,Bahnhof
railway_station,Bahnhof
railway_turntable,Drehscheibe
range,Waffenübungsplatz
rapids,Stromschnellen
reception_area,Empfangsbereich
recreation_ground,Naherholungsgebiet
recycling,Recyclingeinrichtung
reef,Riff
research,Forschung
reservoir_covered,Wasserhochbehälter
reservoir,Reservoir
residential,Siedlung
residential,Wohngebiet
rest_area,Rastplatz
restaurant,Restaurant
retail,Einzelhandel
retaining_wall,Stützmauer
retirement_home,Altersheim
ridge,Grat
riverbank,Flussufer
river,Fluss
road,Straße
rock,Stein
rowing,Rudern
rugby_league,Rugby League
rugby_union,Rugby Union
ruins,Ruine
running,Laufsport
sally port,Gebäudedurchfahrt
salon,Salon
salt_pond,Meerwassersaline
sauna,Sauna
school,Schule
scree,Geröll
scrub,Busch
scuba_diving,Sporttauchen
seafood,Fischfachgeschäft
secondary,Landstraße
secondary_link,Landstraße
second_hand,Gebrauchtwarenladen
services,Autobahnraststätte
service,Zufahrtsweg
shelter,Schutzhütte
shoal,Untiefe
shoemaker,Schuhmacher
shoes,Schuhladen
shooting,Sportschießen
shop_farm,Hofladen
shop,Geschäft
shopping_centre,Einkaufszentrum
shopping,Einkaufszentrum
sinkhole,Senke
siren,Sirene
skateboard,Skateboard
skating,Eislaufsport
skiing,Skisport
slipway,Slipanlage
snow_fence,Schneezaun
soccer,Fußball
social_club,Geselligkeitsverein
social_facility,Sozialeinrichtung
speed_camera,Geschwindigkeitsüberwachung
sports_centre,Sportzentrum
sports,Sportgeschäft
spring,Quelle
spur,Bahnstrecke
stadium,Stadion
station,Bahnhof
stationery,Schreibwarenladen
steps,Treppe
stile,Zaunübertritt
stone,Findling
stop_position,Halteposition
storage_tank,Tank
store,Warenhäuser
strait,Straße
stream,Bach
street_lamp,Laterne
stripclub,Stripclub
studio,Studio
subdivision,Untergruppe
subway_entrance,U-Bahn-Zugang
subway,U-Bahn-Station
suction_point,Löschwasserentnahmestelle
supermarket,Supermarkt
surfing,Surfen
surveillance,Videoüberwachung
survey_point,Vermessungspunkt
swimming_pool,Schwimmbecken
swimming,Schwimmsport
swing_gate,Drehtor
switch,Weiche
table_tennis,Tischtennis
taekwondo,Taekwondo
tailor,Schneider
tattoo,Tätowierstube
taxi,Taxistand
team_handball,Handball
technical,Technisches Hilfswerk (THW)
telecommunication,Telekommunikation
telephone,Telefonzelle
tennis,Tennis
terminal,Terminal
terrace,Terrasse
tertiary,Tertiärstraße
theatre,Theater
theme_park,Vergnügungspark
tobacco,Tabak
toboggan,Rodelsport
toilets,Toilette
toll_booth,Mautstelle
tower,Turm
townhall,Rathaus
toys,Spielwarenladen
track,Feldweg
traffic_calming_bump,Bodenwelle
traffic_calming_chicane,Schikane
traffic_calming_choker,Fahrbahnverengung
traffic_calming_cushion,Bodenwelle
traffic_calming_hump,Bodenwelle
traffic_calming_rumble_strip,Holperstreifen
traffic_calming_table,Bodenwelle
traffic_calming_yes,Verkehrsberuhigung
trail,Pfad
train_station,Bahnhof
tram_stop,Straßenbahn-Haltestelle
tram,Straßenbahn
travel_agency,Reisebüro
travel_agent,Reisebüro
tree,Baum
trunk,Fernverkehrsstraße
trunk_link,Fernstraßenauffahrt
turning_circle,Wendekreis
turnstile,Drehkreuz
unclassified,Landstraße
